School,Classification,coop
Pocahontas Area,2A,
"Interstate 35, Truro",2A,
Dike-New Hartford,2A,
"Cardinal, Eldon",2A,
Starmont,2A,"West Central, Maynard"
MFL MarMac,2A,
Sumner-Fredericksburg,2A,
Eddyville-Blakesburg-Fremont,2A,
Woodward-Granger,2A,
Wilton,2A,
East Sac County,2A,
"West Central Valley, Stuart",2A,
Denver,2A,
Alburnett,2A,
"West Sioux, Hawarden",2A,
Postville,2A,
Pella Christian,2A,
Aplington-Parkersburg,2A,
Hudson,2A,
"Sioux Central, Sioux Rapids",2A,
Ridge View,2A,
Underwood,2A,
"East Marshall, LeGrand",2A,
Colfax-Mingo,1A,
Grundy Center,1A,
Manson Northwest Webster,1A,
South Hardin,1A,
Ogden,1A,
"Central Decatur, Leon",1A,
Pleasantville,1A,
Treynor,1A,
Van Buren County,1A,
"Cascade, Western Dubuque",1A,
Emmetsburg,1A,
Hinton,1A,
"Columbus Catholic, Waterloo",1A,
Missouri Valley,1A,
Central Springs,1A,
Durant,1A,
"Beckman Catholic, Dyersville",1A,
Lawton-Bronson,1A,
"Regina, Iowa City",1A,
Louisa-Muscatine,1A,
"AHSTW, Avoca",1A,
"South Hamilton, Jewell",1A,
Sibley-Ocheyedan,1A,
"Westwood, Sloan",1A,
Bellevue,1A,
"Panorama, Panora",1A,
"Tri-Center, Neola",1A,
Southwest Valley,1A,
Grand View Christian School,1A,
ACGC,1A,
Lake Mills,1A,
"Wapsie Valley, Fairbank",1A,
"West Monona, Onawa",1A,
Madrid,1A,
"South Winneshiek, Calmar",1A,
"Columbus Community, Columbus Junction",1A,
Alta-Aurelia,1A,
Nodaway Valley,1A,
Logan-Magnolia,1A,
MMCRU,1A,
"West Fork, Sheffield",1A,
North Union,1A,
"Maquoketa Valley, Delhi",1A,
Hartley-Melvin-Sanborn,1A,
Akron-Westfield,1A,
"North Mahaska, New Sharon",1A,
Wapello,1A,
Danville,1A,
Earlham,1A,
IKM-Manning,1A,
"Newman Catholic, Mason City",1A,
Mount Ayr,1A,
"North Butler, Greene",1A,
"North Cedar, Stanwood",1A,
Pekin,1A,
"East Buchanan, Winthrop",1A,
Martensdale-St Marys,1A,
"Clayton Ridge, Guttenberg",1A,
"BCLUW, Conrad",1A,
Bedford,1A,"South Page, College Springs"
"Riverside, Oakland",1A,
"Midland, Wyoming",1A,
Nashua-Plainfield,1A,
"Wayne, Corydon",1A,
"B-G-M, Brooklyn",1A,
Saint Ansgar,1A,
"Highland, Riverside",1A,
Sigourney,1A,
Springville,1A,Cedar Valley Christian
"South O'Brien, Paullina",1A,
Northwood-Kensett,1A,
"Southeast Warren, Liberty Center",1A,
"North-Linn, Troy Mills",1A,
"St. Albert, Council Bluffs",1A,
GTRA,1A,Ruthven-Ayrshire
New London,1A,
"West Hancock, Britt",1A,
Lynnville-Sully,1A,
"Gehlen Catholic, LeMars",1A,
"Iowa Valley, Marengo",1A,
"St. Edmond, Fort Dodge",1A,
"East Union, Afton",1A,
"Fremont-Mills, Tabor",1A,
Baxter,1A,
Lenox,1A,
Montezuma,1A,
"Central, Elkader",1A,
Audubon,1A,
Newell-Fonda,1A,
Rockford,1A,
Calamus-Wheatland,1A,
East Mills,1A,
"GMG, Garwin",1A,
"CAM, Anita",1A,
Easton Valley,1A,
Moravia,1A,
Woodbine,1A,
Gladbrook-Reinbeck,1A,
"WACO, Wayland",1A,
Central City,1A,
Lone Tree,1A,
Dunkerton,1A,
Sidney,1A,
"Boyer Valley, Dunlap",1A,
Edgewood-Colesburg,1A,
"English Valleys, North English",1A,
Ankeny Christian Academy,1A,
Griswold,1A,
Colo-NESCO,1A,
"North Tama, Traer",1A,
Collins-Maxwell,1A,
Coon Rapids-Bayard,1A,
"Turkey Valley, Jackson Junction",1A,
"Bishop Garrigan, Algona",1A,
Janesville,1A,
Woodward Academy,1A,
West Bend-Mallard,1A,
ExiraElk Horn-Kimballton,1A,
"North Iowa, Buffalo Center",1A,
Riceville,1A,
Winfield-Mt Union,1A,
"Twin Cedars, Bussey",1A,
Belle Plaine,1A,
Tripoli,1A,
Clarksville,1A,
Melcher-Dallas,1A,
"Kee, Lansing",1A,
Siouxland Christian,1A,
"H-L-V , Victor",1A,
"River Valley, Correctionville",1A,
"West Harrison, Mondamin",1A,
Lamoni,1A,
Harris-Lake Park,1A,
Keota,1A,
Stanton,1A,
Murray,1A,
Trinity Christian,1A,
Waterloo Christian School,1A,
Seymour,1A,
"Marquette Catholic, Bellevue",1A,
"Ar-We-Va, Westside",1A,Unity Ridge Lutheran
"Holy Trinity Catholic, Fort Madison",1A,
"St. Mary's, Remsen",1A,
"Tri-County, Thornburg",1A,
"Mormon Trail, Garden Grove",1A,
Hillcrest Academy,1A,
Essex,1A,
Meskwaki Settlement School,1A,
"Prince of Peace Catholic, Clinton",1A,
Moulton-Udell,1A,
Whiting,1A,
Hamburg Charter,1A,
Heartland Christian,1A,
Diagonal,1A,
Orient-Macksburg,1A,
"Valley Lutheran, Cedar Falls",1A,"Don Bosco, Gilbertville"
"Rivermont Collegiate, Bettendorf",1A,
Iowa School for the Deaf,1A,
North Iowa Christian School,1A,
Scattergood Friends,1A,
Clear Lake Classical,1A,
Ottumwa Christian School,1A,
